Channel_1.Device_1.Bool_1;1000;False;True;Unknow
S7:[S7 connection_52]DB801,B105;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL106;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL110;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING114.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B130;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B131;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL132;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL136;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING140.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B156;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B157;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL158;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL162;1000;0;0;Unknow
